Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales,Rating
BB0001,5.06,Low Fat,0.032,Vegetables,OUT049,2022,High,Tier 1,Supermarket,2733.82,2.7
BB0002,4.17,Regular,0.071,Vegetables,OUT019,2015,High,Tier 1,Hypermarket,4299.01,3.4
BB0003,17.51,Regular,0.081,Dairy,OUT045,1995,Medium,Tier 2,Hypermarket,2696.38,1.4
BB0004,16.93,Low Fat,0.023,Soft Drinks,OUT046,1996,Medium,Tier 1,Hypermarket,1020.65,3.1
BB0005,7.59,Low Fat,0.163,Health,OUT049,2015,High,Tier 1,Supermarket,3784.01,4.7
BB0006,2.05,Regular,0.03,Snacks,OUT049,2020,Small,Tier 2,Hypermarket,3637.97,3.3
BB0007,2.3,Non-Edible,0.14,Vegetables,OUT019,2004,High,Tier 1,Supermarket,1409.74,3
BB0008,2.9,Regular,0.09,Health,OUT019,2019,Medium,Tier 3,Hypermarket,3909.69,2.9
BB0009,11.33,Regular,0.169,Vegetables,OUT027,1996,Small,Tier 3,Hypermarket,825.55,3.7
BB0010,5.4,Regular,0.19,Vegetables,OUT019,2021,Medium,Tier 3,Hypermarket,608.49,4
BB0011,8.22,Non-Edible,0.072,Vegetables,OUT045,2020,High,Tier 1,Supermarket,2216.84,4.5
BB0012,4.01,Non-Edible,0.195,Dairy,OUT027,2017,Medium,Tier 1,Grocery Store,3919.8,1.1
BB0013,13.29,Non-Edible,0.158,Soft Drinks,OUT019,1996,Small,Tier 3,Hypermarket,4893.34,4.4
BB0014,6.71,Regular,0.126,Dairy,OUT049,2011,Medium,Tier 3,Grocery Store,4054.15,3.5
BB0015,9.02,Low Fat,0.091,Household,OUT045,2014,Small,Tier 3,Supermarket,2859.79,3.8
BB0016,3.2,Regular,0.064,Frozen Foods,OUT035,2011,Small,Tier 1,Grocery Store,4373.81,4.2
BB0017,16.53,Non-Edible,0.125,Vegetables,OUT049,1996,High,Tier 2,Grocery Store,3582.7,3.4
BB0018,13.41,Non-Edible,0.066,Snacks,OUT049,2004,Medium,Tier 2,Supermarket,1482.83,1.7
BB0019,9.55,Non-Edible,0.123,Health,OUT035,2015,High,Tier 2,Supermarket,787.21,2.5
BB0020,5.14,Regular,0.066,Baking Goods,OUT027,2006,Small,Tier 1,Hypermarket,1482.91,3.5
BB0021,2.61,Low Fat,0.056,Baking Goods,OUT019,2016,Medium,Tier 1,Grocery Store,1584.76,2.7
BB0022,8.76,Low Fat,0.109,Dairy,OUT046,2002,Small,Tier 3,Grocery Store,4463.19,1.8
BB0023,8.94,Non-Edible,0.041,Snacks,OUT019,2015,Medium,Tier 2,Hypermarket,3126.26,2.2
BB0024,12.9,Low Fat,0.162,Baking Goods,OUT046,2021,Small,Tier 3,Grocery Store,1956.42,3.5
BB0025,11.88,Low Fat,0.198,Frozen Foods,OUT027,2006,Small,Tier 3,Grocery Store,2926.3,3.4
BB0026,10.41,Regular,0.104,Household,OUT018,2018,High,Tier 2,Grocery Store,4451.44,4.5
BB0027,16.35,Regular,0.194,Health,OUT018,2006,Medium,Tier 3,Grocery Store,2592.88,3
BB0028,3.73,Low Fat,0.186,Household,OUT027,1998,Small,Tier 3,Hypermarket,1995.88,4.3
BB0029,6.86,Regular,0.131,Frozen Foods,OUT046,1998,Medium,Tier 3,Grocery Store,3643.29,2.1
BB0030,8.96,Low Fat,0.101,Canned,OUT027,2012,High,Tier 1,Supermarket,2210.18,3.7
BB0031,17.92,Regular,0.117,Health,OUT049,2004,Medium,Tier 1,Grocery Store,3357.7,1.7
BB0032,6.6,Regular,0.076,Frozen Foods,OUT018,1998,Small,Tier 3,Hypermarket,4499.93,2
BB0033,9.14,Non-Edible,0.061,Soft Drinks,OUT035,2017,Medium,Tier 3,Supermarket,4903.14,2.5
BB0034,10.96,Regular,0.174,Vegetables,OUT035,2002,Medium,Tier 1,Supermarket,1203.03,4.6
BB0035,16.28,Regular,0.189,Vegetables,OUT027,2016,Small,Tier 1,Grocery Store,2201.24,3.9
BB0036,8.14,Low Fat,0.175,Vegetables,OUT018,2022,Small,Tier 3,Supermarket,4525.89,3.5
BB0037,16.58,Regular,0.085,Dairy,OUT019,2016,High,Tier 1,Hypermarket,3277.41,3.9
BB0038,15.05,Regular,0.134,Fruits,OUT045,1997,Small,Tier 3,Supermarket,839.12,3.4
